PredictionString,image_id
7 0.9626038074493408 117.46489715576172 421.25360107421875 332.1387939453125 710.3189086914062 7 0.9435144662857056 609.7890625 518.5597534179688 956.379150390625 1018.1552124023438 7 0.9327958822250366 390.3638916015625 192.14503479003906 597.9217529296875 547.2808837890625 7 0.9233447909355164 448.5740966796875 600.2568359375 648.1995849609375 875.41845703125 7 0.9143242835998535 217.3626708984375 48.93841552734375 456.9833984375 480.97381591796875 7 0.8977130055427551 555.0316162109375 342.14093017578125 703.8875732421875 606.0895385742188 1 0.8609229922294617 569.2413330078125 103.70838165283203 756.8333740234375 358.9913330078125 7 0.8606435060501099 653.4229736328125 337.88818359375 878.3892822265625 610.2921142578125 7 0.8471925854682922 249.31491088867188 408.4276123046875 434.1039123535156 574.9146118164062 5 0.6736250519752502 342.79669189453125 641.4603271484375 394.67340087890625 725.184814453125 5 0.6657909750938416 476.3037109375 644.5391845703125 550.853515625 710.8515625 2 0.6599699258804321 244.27745056152344 683.645263671875 303.02880859375 747.220458984375 1 0.5204201936721802 430.91644287109375 430.7727355957031 567.8406372070312 683.44482421875 5 0.4468209147453308 244.28579711914062 683.9703369140625 303.0289001464844 747.4344482421875 2 0.41380906105041504 329.73291015625 639.14013671875 353.6820068359375 683.36865234375 2 0.41144847869873047 499.5835266113281 597.4259033203125 551.73046875 643.5301513671875 5 0.3821164667606354 385.99713134765625 680.3004150390625 425.30633544921875 723.1412353515625 5 0.36679258942604065 416.5210266113281 612.154296875 447.0735168457031 684.4365234375 5 0.3416987657546997 419.803466796875 610.5004272460938 446.394287109375 661.2615356445312 7 0.3405783474445343 323.3759460449219 554.3358154296875 471.1774597167969 744.17724609375 1 0.32984837889671326 500.2504577636719 596.839599609375 551.7177734375 641.6806640625 5 0.3292478621006012 416.0885009765625 646.9473876953125 446.86767578125 684.4620361328125 5 0.3247157633304596 330.353515625 638.9708251953125 354.531494140625 683.6922607421875 1 0.31579893827438354 732.0291748046875 0.0 1023.6317138671875 765.8095092773438 5 0.3139190971851349 323.1076965332031 666.4774169921875 464.9794616699219 743.6383056640625 5 0.3096272051334381 389.0438232421875 663.8065185546875 452.185546875 729.7894287109375 5 0.2942165732383728 396.92047119140625 665.365234375 464.89910888671875 733.5869140625 5 0.2672155797481537 495.36309814453125 642.31103515625 586.2103881835938 759.5166015625 5 0.26249590516090393 397.9539794921875 622.211181640625 445.002685546875 684.9610595703125 5 0.25793424248695374 394.28363037109375 629.5416259765625 419.7681884765625 686.8128662109375 2 0.2512325048446655 386.3915100097656 683.5765380859375 424.5447082519531 721.2369384765625 ,test/0000.jpg
5 0.8985177874565125 343.2698974609375 250.5992431640625 755.2918701171875 689.158447265625 3 0.8111664652824402 134.26763916015625 0.0 492.62030029296875 270.725341796875 ,test/0001.jpg
1 0.8516120910644531 777.1928100585938 419.1052551269531 1023.8784790039062 1024.0 1 0.8278596997261047 75.4000244140625 270.463134765625 427.7408447265625 597.2921752929688 1 0.7813718318939209 305.31396484375 294.0754089355469 971.7657470703125 738.700439453125 1 0.6104371547698975 423.15869140625 269.4159240722656 644.1802978515625 328.2006530761719 0 0.5985017418861389 880.31103515625 466.8994445800781 1024.0 632.83984375 0 0.3776533901691437 535.1787109375 576.3060302734375 760.174072265625 666.0162353515625 5 0.33150404691696167 866.7691650390625 243.57196044921875 912.8511962890625 324.274169921875 1 0.3257370889186859 215.4661865234375 313.386962890625 1024.0 673.685791015625 1 0.3236350417137146 292.0662536621094 508.45318603515625 811.7510986328125 744.9240112304688 0 0.3171035945415497 253.4818115234375 287.4537353515625 304.5006103515625 437.322509765625 0 0.28357499837875366 673.6697998046875 226.07135009765625 869.5885009765625 323.635498046875 ,test/0002.jpg
9 0.7210612297058105 216.7236328125 760.0184326171875 1024.0 1024.0 9 0.6756075620651245 152.0069580078125 262.0657653808594 991.5146484375 878.2095947265625 5 0.36925214529037476 0.0 0.0 891.3233642578125 308.5620422363281 9 0.36308982968330383 0.0 178.91970825195312 186.1131591796875 863.101806640625 9 0.29331323504447937 216.80007934570312 0.0 1024.0 327.5871887207031 ,test/0003.jpg
0 0.39261117577552795 196.82528686523438 248.454833984375 914.2672119140625 774.145751953125 1 0.3693343997001648 196.90701293945312 384.77880859375 878.359375 777.8963623046875 ,test/0004.jpg
2 0.8840909004211426 346.06793212890625 234.75096130371094 775.7045288085938 715.1400146484375 0 0.2508052587509155 355.0367431640625 268.4189453125 529.334716796875 348.451904296875 ,test/0005.jpg
5 0.6158961653709412 365.55694580078125 452.75872802734375 839.8156127929688 722.7153930664062 7 0.5493927001953125 303.57525634765625 8.84375 411.26971435546875 171.75 9 0.5455136895179749 0.0 807.7486572265625 89.19575500488281 938.613037109375 4 0.53954017162323 359.59674072265625 451.0090026855469 840.3740844726562 725.226806640625 0 0.5317674279212952 897.611083984375 788.3114013671875 1024.0 916.2562255859375 3 0.4343714714050293 0.0037994384765625 38.74119567871094 70.1585464477539 220.9037322998047 4 0.304243803024292 423.6936950683594 7.313385009765625 708.4398193359375 269.8057556152344 ,test/0006.jpg
9 0.6777603030204773 286.4138488769531 121.6588134765625 1009.968994140625 882.1995239257812 9 0.6547920107841492 333.3011474609375 0.0 961.8380126953125 183.40267944335938 1 0.40615835785865784 96.70733642578125 101.98394775390625 793.0579223632812 917.2144165039062 9 0.3051282465457916 235.751708984375 0.0 1024.0 293.9524230957031 1 0.27427220344543457 121.1522216796875 891.206787109375 884.5235595703125 1024.0 1 0.2701353430747986 886.677490234375 890.2112426757812 1024.0 1023.7106323242188 ,test/0007.jpg
7 0.9420076012611389 399.2323303222656 469.2987976074219 688.2620849609375 873.652099609375 2 0.927971601486206 105.07658386230469 906.1202392578125 170.0264129638672 971.5635986328125 6 0.9249966740608215 773.6166381835938 278.3755187988281 978.2804565429688 480.2759704589844 7 0.9208191633224487 165.7371368408203 536.89794921875 466.26873779296875 958.799560546875 7 0.9075117111206055 681.4628295898438 530.322998046875 790.8517456054688 698.606201171875 7 0.8865284323692322 1.940277099609375 611.16015625 179.67196655273438 880.80615234375 7 0.8219162821769714 0.210113525390625 360.30010986328125 267.71087646484375 619.190673828125 1 0.8041074275970459 645.7919921875 636.1881103515625 720.1658935546875 760.5792236328125 1 0.7367434501647949 0.4342041015625 0.0 313.31915283203125 264.1941833496094 6 0.7029854655265808 790.3516845703125 432.75140380859375 965.3221435546875 618.3097534179688 0 0.5982936024665833 358.7662048339844 0.0659637451171875 417.4176940917969 88.54969024658203 1 0.4947201907634735 357.54443359375 497.88543701171875 466.6123046875 607.7933959960938 7 0.4509676396846771 221.72930908203125 491.7431335449219 335.38433837890625 555.29345703125 1 0.4237949848175049 356.7310791015625 498.6949462890625 464.3656005859375 680.6595458984375 7 0.41653403639793396 547.6385498046875 425.796630859375 702.2830810546875 608.152587890625 1 0.32285842299461365 656.729736328125 446.74261474609375 810.36572265625 613.1846313476562 0 0.3137294352054596 1.60595703125 0.0 313.9237060546875 262.77813720703125 ,test/0008.jpg
2 0.4454159736633301 296.0064697265625 112.77984619140625 666.0965576171875 780.2857666015625 ,test/0009.jpg
